Maturity,Coupon,Day,Price
3/1/2020,1.5,1,99.85
3/1/2020,1.5,2,99.86
3/1/2020,1.5,3,99.86
3/1/2020,1.5,4,99.86
3/1/2020,1.5,5,99.86
3/1/2020,1.5,6,99.86
3/1/2020,1.5,7,99.86
3/1/2020,1.5,8,99.86
3/1/2020,1.5,9,99.86
3/1/2020,1.5,10,99.86
9/1/2020,0.75,1,99.26
9/1/2020,0.75,2,99.28
9/1/2020,0.75,3,99.28
9/1/2020,0.75,4,99.27
9/1/2020,0.75,5,99.28
9/1/2020,0.75,6,99.28
9/1/2020,0.75,7,99.28
9/1/2020,0.75,8,99.27
9/1/2020,0.75,9,99.28
9/1/2020,0.75,10,99.3
3/1/2021,0.75,1,98.89
3/1/2021,0.75,2,98.93
3/1/2021,0.75,3,98.95
3/1/2021,0.75,4,98.94
3/1/2021,0.75,5,98.92
3/1/2021,0.75,6,98.92
3/1/2021,0.75,7,98.88
3/1/2021,0.75,8,98.9
3/1/2021,0.75,9,98.9
3/1/2021,0.75,10,98.93
9/1/2021,0.75,1,98.41
9/1/2021,0.75,2,98.45
9/1/2021,0.75,3,98.49
9/1/2021,0.75,4,98.46
9/1/2021,0.75,5,98.46
9/1/2021,0.75,6,98.43
9/1/2021,0.75,7,98.43
9/1/2021,0.75,8,98.38
9/1/2021,0.75,9,98.41
9/1/2021,0.75,10,98.42
3/1/2022,0.5,1,97.57
3/1/2022,0.5,2,97.63
3/1/2022,0.5,3,97.66
3/1/2022,0.5,4,97.65
3/1/2022,0.5,5,97.64
3/1/2022,0.5,6,97.6
3/1/2022,0.5,7,97.61
3/1/2022,0.5,8,97.57
3/1/2022,0.5,9,97.58
3/1/2022,0.5,10,97.61
6/1/2022,2.75,1,102.53
6/1/2022,2.75,2,102.59
6/1/2022,2.75,3,102.62
6/1/2022,2.75,4,102.59
6/1/2022,2.75,5,102.58
6/1/2022,2.75,6,102.52
6/1/2022,2.75,7,102.52
6/1/2022,2.75,8,102.46
6/1/2022,2.75,9,102.47
6/1/2022,2.75,10,102.51
3/1/2023,1.75,1,100.31
3/1/2023,1.75,2,100.42
3/1/2023,1.75,3,100.48
3/1/2023,1.75,4,100.45
3/1/2023,1.75,5,100.44
3/1/2023,1.75,6,100.35
3/1/2023,1.75,7,100.31
3/1/2023,1.75,8,100.27
3/1/2023,1.75,9,100.31
3/1/2023,1.75,10,100.38
6/1/2023,1.5,1,99.48
6/1/2023,1.5,2,99.59
6/1/2023,1.5,3,99.65
6/1/2023,1.5,4,99.61
6/1/2023,1.5,5,99.62
6/1/2023,1.5,6,99.54
6/1/2023,1.5,7,99.53
6/1/2023,1.5,8,99.44
6/1/2023,1.5,9,99.49
6/1/2023,1.5,10,99.56
3/1/2024,2.25,1,102.52
3/1/2024,2.25,2,102.65
3/1/2024,2.25,3,102.75
3/1/2024,2.25,4,102.58
3/1/2024,2.25,5,102.68
3/1/2024,2.25,6,102.53
3/1/2024,2.25,7,102.47
3/1/2024,2.25,8,102.46
3/1/2024,2.25,9,102.54
3/1/2024,2.25,10,102.64
9/1/2024,1.5,1,98.72
9/1/2024,1.5,2,98.95
9/1/2024,1.5,3,99.29
9/1/2024,1.5,4,99.11
9/1/2024,1.5,5,99.25
9/1/2024,1.5,6,98.99
9/1/2024,1.5,7,99.03
9/1/2024,1.5,8,99.06
9/1/2024,1.5,9,98.99
9/1/2024,1.5,10,99.1